"i","j","rho","gini","o_bar","raw","gini","over","cw","oracle","seed"
11,15,0.124048028828848,0.113950953160078,0.0872043311579934,0.124048028828848,0.109912637706172,0.0108175253854872,0.00958485805697761,0.434849693280086,900000011
12,13,0.326315834454601,0.220180450592554,0.0969505134282351,0.326315834454601,0.254467466988902,0.0316364876901366,0.0246707515753565,0.731290774600422,900000011
12,14,0.229911691697228,0.167837624873744,0.122764029763125,0.229911691697228,0.191323859432061,0.0282248857624089,0.0234876879737135,0.554294163390759,900000011
12,15,0.137218567988217,0.165832655238974,0.117449368137155,0.137218567988217,0.114463248510641,0.0161162341069014,0.013443636212501,0.549174100512133,900000011
13,14,0.198503578317775,0.173789418208836,0.127757359845635,0.198503578317775,0.164005756929557,0.0253602930857902,0.0209529425048051,0.561464071720076,900000011
13,15,0.151150268161013,0.168278852336514,0.115033590499987,0.151150268161013,0.125714874504521,0.0173873580515972,0.0144614333935104,0.621697279097498,900000011
14,15,0.217709999051431,0.172759475076765,0.117967839479017,0.217709999051431,0.180098533896343,0.0256827782210762,0.0212458349370901,0.595351522237044,900000011
1,6,0.105074107381759,0.18295509128734,0.00219397621041841,0.105074107381759,0.0858502644737936,0.000230530091926529,0.000188353437913632,0.896440958183503,900000011
2,7,0.210184614112414,0.170628134835603,0.00362780318551126,0.210184614112414,0.174321205435271,0.000762508412622469,0.000632403024380241,0.952206056461469,900000011
3,8,0.265796478429757,0.137659267401231,-0.00205859781260666,0.265796478429757,0.22920712993129,0,0,0.927410021636504,900000011
4,9,0.259702910214021,0.069296703696627,-0.00827735550801756,0.259702910214021,0.241706354595768,0,0,0.857386596520746,900000011
5,10,0.175342877633551,0.228497175331061,0.0181801174376912,0.175342877633551,0.135277525379865,0.00318775410724068,0.0024593612980862,0.957427527495584,900000011
6,11,0.225664923648571,0.193931300245831,-0.00899164663444862,0.225664923648571,0.181901431585528,0,0,0.948747549553694,900000011
1,2,0.258986895067782,0.131056306994465,0.115075633952654,0.258986895067782,0.225045029040235,0.0298030811353545,0.0258971993846985,0.258986895067781,900000012
1,3,0.278561840210568,0.0815286886085962,0.100587871113385,0.278561840210568,0.255851058681803,0.0280199424802081,0.0257355133149084,0.278561840210567,900000012
1,4,0.315800009769578,0.0573794635494191,0.109935264134254,0.315800009769578,0.297679574620099,0.0347175574876185,0.0327254826632328,0.315800009769536,900000012
1,5,0.255085815452711,0.164507105734667,0.107882309705545,0.255085815452711,0.213122386238618,0.0275192469441609,0.0229921352773794,0.255085815452763,900000012
2,3,0.188579655415092,0.135894448699942,0.113127384525298,0.188579655415092,0.162952727106433,0.0213335231917914,0.0184344158188155,0.188579655415054,900000012
2,4,0.347429684549226,0.148245977970949,0.0917759220703357,0.347429684549226,0.295924631187088,0.0318856796541111,0.027158755890519,0.347429684549176,900000012
